Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
GLIDAChargingStation,5.0,1.0,30.738857,76.715812,FuelStation,ElectricalChargingStation,20,0,6651.200000000001,2.75
BhagatSnacks&Food,4.2,342.0,30.738593,76.732261,Restaurant,FastFood,20,0,6651.200000000001,4.180869565217417
Sector40/39,5.0,1.0,30.739726,76.730984,Transportation,BusStop,20,0,6651.200000000001,2.75
Satvicyogaclasses,5.0,31.0,30.738478,76.738155,Entertainment,SportsComplex,20,0,6651.200000000001,4.735294117647059
Satvicyogaclasses,5.0,31.0,30.738478,76.738155,Fitness&Wellness,YogaStudio,20,0,6651.200000000001,4.735294117647059
HEADHONCHOSSALON(MATRIXSALON)-BestSalonInChandigarh,4.8,3238.0,30.738721,76.731927,PersonalCare,HairSalon,20,0,6651.200000000001,4.797408207343136
MKRVOCAL&GUITARINSTRUCTOR,4.8,46.0,30.739601,76.734837,EducationalInstitute,MusicSchool,20,0,6651.200000000001,4.6285714285714326
RKLegalAdvisorsIndiaLLP,5.0,42.0,30.739165,76.731348,Office,LawFirm,20,0,6651.200000000001,4.8
TheOrientalInsuranceCompanyLtd.,4.3,3.0,30.740207,76.73476,Office,InsuranceAgency,20,0,6651.200000000001,3.15
