Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
"LighthouseWorshipCenterChurch,Chandigarh",4.4,15.0,30.739997,76.758042,PilgrimagePlace,Church,20,18,8137.4000000000015,3.999999999999999
YogabhyasaStudio||Taekwondo&General/AdvanceYogasanaClasses,5.0,185.0,30.740217,76.757777,Entertainment,SportsComplex,20,18,8137.4000000000015,4.952127659574468
YogabhyasaStudio||Taekwondo&General/AdvanceYogasanaClasses,5.0,185.0,30.740217,76.757777,Fitness&Wellness,YogaStudio,20,18,8137.4000000000015,4.952127659574468
YogabhyasaStudio||Taekwondo&General/AdvanceYogasanaClasses,5.0,185.0,30.740217,76.757777,Fitness&Wellness,Gym,20,18,8137.4000000000015,4.952127659574468
AÃ¯Â¿Â½mithYogshala,5.0,1.0,30.740105,76.757997,Fitness&Wellness,YogaStudio,20,18,8137.4000000000015,2.75
AnovusInstituteofClinicalResearch,4.0,123.0,30.740285,76.757812,EducationalInstitute,University,20,18,8137.4000000000015,3.952380952380953
SwamiRamTirthaCulturalCentre&MemorialSocietyRegd.,4.8,25.0,30.740178,76.757908,EducationalInstitute,MusicSchool,20,18,8137.4000000000015,4.499999999999998
SwamiRamTirthaCulturalCentre&MemorialSocietyRegd.,4.8,25.0,30.740178,76.757908,EducationalInstitute,DanceSchool,20,18,8137.4000000000015,4.499999999999998
YogabhyasaStudio||Taekwondo&General/AdvanceYogasanaClasses,5.0,185.0,30.740217,76.757777,EducationalInstitute,DanceSchool,20,18,8137.4000000000015,4.952127659574468
