Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
Mikanoscafe,4.0,100.0,30.746075,76.743373,Restaurant,FineDining,23,5,6763.000000000001,3.941747572815534
Mikanoscafe,4.0,100.0,30.746075,76.743373,Restaurant,Cafe,23,5,6763.000000000001,3.941747572815534
38DTheka,5.0,1.0,30.746278,76.743228,Restaurant,Bar,23,5,6763.000000000001,2.75
LaPino'zPizzaSector-38,4.0,1445.0,30.74609,76.743359,Restaurant,Pizzeria,23,5,6763.000000000001,3.99585635359116
OxizoneFitness&Spa,4.4,570.0,30.746271,76.743118,Fitness&Wellness,Gym,23,5,6763.000000000001,4.3874345549738685
JHCLASSES,5.0,44.0,30.746383,76.742885,EducationalInstitute,TuitionCenter,23,5,6763.000000000001,4.808510638297872
24SEVEN,3.9,69.0,30.746482,76.742949,Shop,ConvenienceStore,23,5,6763.000000000001,3.820833333333336
ThanksPharmacy,3.9,22.0,30.74584,76.743546,Shop,Pharmacy,23,5,6763.000000000001,3.6720000000000006
EvergreenTravels(Regd),4.7,276.0,30.746459,76.743027,Office,TravelAgency,23,5,6763.000000000001,4.670967741935508
