Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
DeraSidhGhaneriShivMandir,4.7,28.0,30.708327,76.75797,PilgrimagePlace,Monastery,8,18,11783.800000000005,4.438709677419356
DeraSidhGhaneriShivMandir,4.7,28.0,30.708327,76.75797,PilgrimagePlace,Shrine,8,18,11783.800000000005,4.438709677419356
Sector45/44TowardsISBT43,5.0,1.0,30.710432,76.757532,Transportation,RailwayStation,8,18,11783.800000000005,2.75
ATOZCOLLECTIONS(WholesaleOnly),4.6,82.0,30.709038,76.7579,Shop,Clothing,8,18,11783.800000000005,4.508235294117652
FabExpressMayankPalace,3.7,88.0,30.709676,76.757583,Hotel,Hotels,8,18,11783.800000000005,3.643956043956038
FabExpressHCChandigarhInn,2.8,26.0,30.709568,76.757969,Hotel,Hotels,8,18,11783.800000000005,2.717241379310344
