Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
M.FiveFoods,4.2,20.0,30.709374,76.761339,Restaurant,FastFood,8,21,11806.600000000002,3.913043478260871
UnitedScientificArenaTechnologyPrivateLimited,5.0,1.0,30.709498,76.761288,EventVenue,Arena,8,21,11806.600000000002,2.75
Dancefitnessstudio,5.0,20.0,30.708942,76.761272,EducationalInstitute,DanceSchool,8,21,11806.600000000002,4.608695652173913
KewalFootwear,5.0,1.0,30.709385,76.760755,Shop,ShoeStore,8,21,11806.600000000002,2.75
ShoesFashionlover,5.0,1.0,30.708922,76.761257,Shop,ShoeStore,8,21,11806.600000000002,2.75
Hi-ClassFootwears,5.0,1.0,30.709416,76.76133,Shop,ShoeStore,8,21,11806.600000000002,2.75
HotelShingarRegencyChandigarh,3.3,563.0,30.709214,76.761316,Hotel,Hotels,8,21,11806.600000000002,3.293109540636012
