Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
Liquorwineandbeershop,4.5,17.0,30.705114,76.762507,Restaurant,Bar,6,22,11034.999999999998,4.125
Sector-46B,5.0,1.0,30.704853,76.762486,Transportation,BusStop,6,22,11034.999999999998,2.75
AcousticMusicAcademy,5.0,6.0,30.704641,76.762424,EducationalInstitute,MusicSchool,6,22,11034.999999999998,4.0
Zeelabpharmacy,5.0,2.0,30.705152,76.761757,Shop,Pharmacy,6,22,11034.999999999998,3.2
LICInsuranceConsultantAdvisor,5.0,1.0,30.704299,76.76222,Office,InsuranceAgency,6,22,11034.999999999998,2.75
