Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
AhmedKhanBhurgri,5.0,1.0,30.739984,76.75673,PilgrimagePlace,Mosque,20,17,8242.6,2.75
Batratheatre,3.0,65.0,30.740515,76.756164,Entertainment,MovieTheater,20,17,8242.6,2.9558823529411766
MiniPark-Sector-37B,4.0,212.0,30.738655,76.756419,OutdoorSpace,Park,20,17,8242.6,3.972093023255814
PinnacleLegalLLPImmigrationandTaxAdvocatesandSolicitors,4.9,235.0,30.738627,76.756817,Office,LawFirm,20,17,8242.6,4.8634453781512565
PinnacleLegalLLPImmigrationandTaxAdvocatesandSolicitors,4.9,235.0,30.738627,76.756817,Office,AccountingFirm,20,17,8242.6,4.8634453781512565
