Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
PINTUKUMARICECREAMSHOP,5.0,1.0,30.735172,76.739862,Restaurant,IceCreamParlor,18,2,11673.199999999995,2.75
Camphorfitness,5.0,18.0,30.734286,76.740394,Fitness&Wellness,Gym,18,2,11673.199999999995,4.571428571428571
UniqueDrycleanerandlaundry,5.0,8.0,30.733906,76.739963,PersonalCare,Laundry,18,2,11673.199999999995,4.181818181818182
LICofIndia-InsuranceAdvisor(Sheshmani),4.9,30.0,30.734567,76.739896,Office,InsuranceAgency,18,2,11673.199999999995,4.636363636363639
