Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
Dr.ParminderKaur-FertilityXprtinChandigarh,5.0,20.0,30.718208,76.75455,Hospital,MaternityHospital,12,15,8271.599999999995,4.608695652173913
AthelonicsHybridGym,4.5,431.0,30.71826,76.754688,Fitness&Wellness,Gym,12,15,8271.599999999995,4.482718894009216
AthelonicsHybridGym,4.5,431.0,30.71826,76.754688,Fitness&Wellness,YogaStudio,12,15,8271.599999999995,4.482718894009216
RAJ&CO.|MarblePolishinginChandigarh,4.9,15.0,30.718321,76.754015,PersonalCare,Laundry,12,15,8271.599999999995,4.416666666666667
