Name,Rating,Number of Reviews,Latitude,Longitude,Category,Sub-Category
sharma sanitary & hardware store,4.9,(8),30.72798,76.749338,Shop,Hardware Store
Ram Hardware Store,4.0,(2),30.716608,76.735454,Shop,Hardware Store
A. K. Trading Company,4.3,(35),30.727835,76.750025,Shop,Hardware Store
Bata shoe store,4.0,(123),30.726162,76.758007,Shop,Shoe Store
Shoe Mania,3.1,(7),30.718143,76.766522,Shop,Shoe Store
Shoe bespoke,4.0,(26),30.733876,76.753437,Shop,Shoe Store
Fine shoes,5.0,(3),30.733501,76.737141,Shop,Shoe Store
Zaroorat Shoe Shoppee,N/A,N/A,30.731147,76.737559,Shop,Shoe Store
Anand Chemists,5.0,(3),30.736871,76.750272,Shop,Pharmacy
All Well Medicos,4.7,(7),30.733001,76.738098,Shop,Pharmacy
Gautam Medical Store,3.7,(19),30.731704,76.740495,Shop,Pharmacy
VIVA - Your Family Chemist,N/A,N/A,30.726232,76.757011,Shop,Pharmacy
VIVA - Your Family Chemist,N/A,N/A,30.736766,76.750206,Shop,Pharmacy
New Shop,5.0,(1),30.737165,76.755486,Shop,Convenience Store
Clock Owl,5.0,(10),30.734566,76.752291,Shop,Convenience Store
24SEVEN,3.9,(69),30.746482,76.742949,Shop,Convenience Store
Madan General Store,3.8,(4),N/A,N/A,Shop,Convenience Store
Clock Owl,4.0,(1),30.734591,76.752298,Shop,Convenience Store
Luxmi Paints & Hardware Store (BUNTY HARDWARE),4.3,(256),30.733462,76.73714,Shop,Hardware Store
Neelam Hardware Store,4.6,(21),30.726005,76.758477,Shop,Hardware Store
Gupta Hardware store,4.0,(1),30.726812,76.750829,Shop,Hardware Store
sharma sanitary & hardware store,4.9,(8),30.72798,76.749338,Shop,Hardware Store
Mahabir Hardware store,N/A,N/A,30.733922,76.752745,Shop,Hardware Store
Bata shoe store,4.0,(123),30.726162,76.758007,Shop,Shoe Store
Sanjeev Footwears - Best Shoes Store In Chandigarh,3.8,(524),30.736873,76.749384,Shop,Shoe Store
Shoe bespoke,4.0,(26),30.733876,76.753437,Shop,Shoe Store
URBANTOES,4.7,(85),30.736013,76.735467,Shop,Shoe Store
Fine shoes,5.0,(3),30.733501,76.737141,Shop,Shoe Store
Apollo Pharmacy Chandigarh Sector 38C,5.0,(5),30.740821,76.744473,Shop,Pharmacy
Thanks Pharmacy,3.9,(22),30.74584,76.743546,Shop,Pharmacy
Apollo Pharmacy Chandigarh Sector 40C,5.0,(7),30.735426,76.735569,Shop,Pharmacy
CHEMIST A S Enterprises,4.9,(13),30.731439,76.764817,Shop,Pharmacy
Sahib Medical Store,3.9,(12),30.743211,76.745536,Shop,Pharmacy
24SEVEN,3.9,(69),30.746482,76.742949,Shop,Convenience Store
New Shop,5.0,(1),30.737165,76.755486,Shop,Convenience Store
Clock Owl,5.0,(10),30.734566,76.752291,Shop,Convenience Store
Madan General Store,3.8,(4),N/A,N/A,Shop,Convenience Store
Clock Owl,4.0,(1),30.734591,76.752298,Shop,Convenience Store
Luxmi Paints & Hardware Store (BUNTY HARDWARE),4.3,(256),30.733462,76.73714,Shop,Hardware Store
Gupta Hardware store,4.0,(1),30.726812,76.750829,Shop,Hardware Store
Mahabir Hardware store,N/A,N/A,30.733922,76.752745,Shop,Hardware Store
sharma sanitary & hardware store,4.9,(8),30.72798,76.749338,Shop,Hardware Store
Suresh Paint And Hardware Store,4.5,(2),30.732852,76.73944,Shop,Hardware Store
Sanjeev Footwears - Best Shoes Store In Chandigarh,3.8,(524),30.736873,76.749384,Shop,Shoe Store
Bata Shoe Store,4.1,(80),30.737057,76.749344,Shop,Shoe Store
Shoe bespoke,4.0,(26),30.733876,76.753437,Shop,Shoe Store
URBANTOES,4.7,(85),30.736013,76.735467,Shop,Shoe Store
Fine shoes,5.0,(3),30.733501,76.737141,Shop,Shoe Store
Apollo Pharmacy Mohali,4.1,(61),30.686759,76.738943,Shop,Pharmacy
Fortis Pharmacy,3.0,(25),30.695127,76.731696,Shop,Pharmacy
Metro Pharmacy,4.5,(31),30.694349,76.733357,Shop,Pharmacy
Super Homoeo Pharmacy,3.8,(8),30.68775,76.737596,Shop,Pharmacy
Hale Pharmacy,5.0,(9),30.68867,76.712554,Shop,Pharmacy
Singla Store,4.2,"(1,118)",30.695747,76.768529,Shop,Convenience Store
Ambarsariya Grocery Shop,4.3,(27),30.690235,76.744159,Shop,Convenience Store
