Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
ElectricVehicleChargingStation,5.0,1.0,30.720301,76.729657,FuelStation,ElectricalChargingStation,12,0,6156.0,2.75
ChargeZoneChargingStation,5.0,1.0,30.720487,76.729234,FuelStation,ElectricalChargingStation,12,0,6156.0,2.75
HPPETROLPUMPFILLINGSTATION,4.0,805.0,30.720585,76.729237,FuelStation,PetrolPump,12,0,6156.0,3.992574257425743
HPPETROLPUMPFILLINGSTATION,4.0,805.0,30.720585,76.729237,FuelStation,LPGStation,12,0,6156.0,3.992574257425743
PunChin,4.5,364.0,30.719526,76.729693,Restaurant,FineDining,12,0,6156.0,4.479564032697548
ThePentecostalMission,4.8,48.0,30.719373,76.730875,PilgrimagePlace,Church,12,0,6156.0,4.635294117647063
Phase3AChurch,3.0,1.0,30.719378,76.730874,PilgrimagePlace,Church,12,0,6156.0,2.25
SinghSabhaGurudwara,4.7,30.0,30.719481,76.730764,PilgrimagePlace,Gurudwara,12,0,6156.0,4.454545454545455
Medicarephysiotherapyandrehabilitationcentre,4.8,104.0,30.719881,76.736546,Hospital,RehabilitationCenter,12,0,6156.0,4.721495327102812
ChildCareClinicandVaccinationCenter||DR.PrabhjeetKaur||BestPediatricianinChandigarh,4.6,98.0,30.720502,76.72666,Hospital,Children'sHospital,12,0,6156.0,4.52277227722773
Dr.AnandGargPhysiotherapyandRehabilitationcenter(HomeVisitsOnly),5.0,546.0,30.719432,76.729661,Hospital,RehabilitationCenter,12,0,6156.0,4.983606557377049
KhalsaCollegeMohaliOfTechnology&BusinessStudies,4.3,218.0,30.718625,76.730432,EducationalInstitute,College,12,0,6156.0,4.26877828054297
VijayPublicSchool,3.8,13.0,30.720242,76.708267,EducationalInstitute,School,12,0,6156.0,3.4624999999999995
"SherwoodConventSchoolPhase4,sector59,Mohali",4.2,42.0,30.718318,76.717416,EducationalInstitute,School,12,0,6156.0,4.053333333333332
GeminiPublicSchool,4.4,5.0,30.71949,76.705825,EducationalInstitute,School,12,0,6156.0,3.5
A-OneStationery,4.8,55.0,30.718879,76.706828,Shop,Stationery,12,0,6156.0,4.6551724137931085
SNGGlossProfessionalUnisexSalon,4.9,22.0,30.718601,76.72535,Shop,BeautyParlour,12,0,6156.0,4.552000000000001
Officeoffice,5.0,1.0,30.719583,76.704393,Office,CorporateOffice,12,0,6156.0,2.75
