Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
EVortableChargingStation,5.0,1.0,30.7063,76.757552,FuelStation,ElectricalChargingStation,7,18,12167.000000000002,2.75
Dreampartyplandecoration,5.0,25.0,30.707189,76.75765,FuelStation,PetrolPump,7,18,12167.000000000002,4.678571428571429
Drunker'sheaven,4.4,14.0,30.707475,76.757704,Restaurant,Bar,7,18,12167.000000000002,3.9764705882352938
BeerShop,3.9,28.0,30.70652,76.757594,Restaurant,Bar,7,18,12167.000000000002,3.716129032258066
Don,4.7,3.0,30.70668,76.757642,Restaurant,Bar,7,18,12167.000000000002,3.35
Drunker'sheaven,4.4,14.0,30.707475,76.757704,Restaurant,Pub,7,18,12167.000000000002,3.9764705882352938
BahadurFastfood,4.2,5.0,30.705967,76.757507,Restaurant,FastFood,7,18,12167.000000000002,3.375
MarwariBakersAndNamkeen,4.3,174.0,30.705994,76.757608,Restaurant,Bakery,7,18,12167.000000000002,4.261016949152534
BeerShop,3.9,28.0,30.70652,76.757594,Restaurant,Pub,7,18,12167.000000000002,3.716129032258066
Don,4.7,3.0,30.70668,76.757642,Restaurant,Pub,7,18,12167.000000000002,3.35
ajeetji,5.0,1.0,30.707468,76.757568,Restaurant,IceCreamParlor,7,18,12167.000000000002,2.75
JAGATKIJYOTICHURCHSEC45CHD,5.0,7.0,30.706143,76.758127,PilgrimagePlace,Church,7,18,12167.000000000002,4.1
JamaMasjid&LakhDataPeerDargah,4.0,4.0,30.707468,76.757568,PilgrimagePlace,Mosque,7,18,12167.000000000002,3.142857142857143
NorthernTravels-ChandigarhTaxiservices,4.7,24.0,30.707475,76.757704,Transportation,Airport,7,18,12167.000000000002,4.400000000000001
Sector-45(Burail),5.0,1.0,30.705785,76.757525,Transportation,BusStop,7,18,12167.000000000002,2.75
HotelGrace,3.1,11.0,30.708065,76.757639,Transportation,RailwayStation,7,18,12167.000000000002,2.8642857142857148
NorthernTravels-ChandigarhTaxiservices,4.7,24.0,30.707475,76.757704,Transportation,TaxiStand,7,18,12167.000000000002,4.400000000000001
HotelGrace,5.0,1.0,30.708065,76.757639,Transportation,RailwayStation,7,18,12167.000000000002,2.75
SatyaDentalImplantsClinic,5.0,432.0,30.70616,76.757721,Hospital,DentalClinic,7,18,12167.000000000002,4.979310344827586
ChandigarhFacialProstheticArtificialEyeClinic,5.0,344.0,30.706269,76.757675,Hospital,EyeClinic,7,18,12167.000000000002,4.974063400576369
SuperFitnessCenter,4.6,47.0,30.706178,76.757634,Fitness&Wellness,Gym,7,18,12167.000000000002,4.443999999999996
SuperFitnessCenter,4.6,47.0,30.706178,76.757634,Fitness&Wellness,YogaStudio,7,18,12167.000000000002,4.443999999999996
DANCEACADEMYCHANDIGARHsector45,4.0,2.0,30.707475,76.757704,EducationalInstitute,DanceSchool,7,18,12167.000000000002,2.8
SuperFitnessCenter,4.6,47.0,30.706178,76.757634,EducationalInstitute,University,7,18,12167.000000000002,4.443999999999996
DANCEACADEMYCHANDIGARHsector45,4.0,2.0,30.707475,76.757704,EducationalInstitute,ArtSchool,7,18,12167.000000000002,2.8
AKDANCE&FITNESSSTUDIOCHANDIGARH(LearnFromProfessionals),5.0,6.0,30.707445,76.757706,EducationalInstitute,ArtSchool,7,18,12167.000000000002,4.0
SmartDrivingSchool,5.0,1.0,30.70751,76.757543,EducationalInstitute,DrivingSchool,7,18,12167.000000000002,2.75
SinghHardwareSanitary&ElectricalStore,4.1,13.0,30.706505,76.757598,Shop,HardwareStore,7,18,12167.000000000002,3.7062500000000007
BEAUTYLADIESPARLOUR,4.8,50.0,30.706426,76.75779,Shop,BeautyParlour,7,18,12167.000000000002,4.641509433962268
SumitElectronics&Electricals,4.3,24.0,30.705717,76.757675,Shop,Electronics,7,18,12167.000000000002,4.044444444444443
ArihantElectricals,4.4,53.0,30.705803,76.757615,Shop,Electronics,7,18,12167.000000000002,4.271428571428575
JagdambaElectrical,5.0,1.0,30.707282,76.757624,Shop,Electronics,7,18,12167.000000000002,2.75
ComputerSolutionCentre,4.6,8.0,30.706959,76.757789,Shop,Electronics,7,18,12167.000000000002,3.890909090909091
OmMahadevKawadSevaDal,5.0,17.0,30.70751,76.757543,Office,Non-ProfitOrganization,7,18,12167.000000000002,4.55
SEWAPunjab,5.0,1.0,30.70751,76.757543,Office,Non-ProfitOrganization,7,18,12167.000000000002,2.75
PEOPLE'SDEVELOPMENTCENTRE,5.0,1.0,30.707475,76.757704,Office,Non-ProfitOrganization,7,18,12167.000000000002,2.75
HotelRaiPalace,4.0,58.0,30.706435,76.75779,Hotel,Hotels,7,18,12167.000000000002,3.901639344262295
