Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
CakesNCreams,4.9,74.0,30.681278,76.744457,Restaurant,Bakery,0,6,5886.2,4.787012987012984
ChandigarhTaxiService-BestTaxiserviceinMohali|ManaliTaxiservice|CabserviceinMohali|AirportTaxiservice,5.0,3.0,30.681864,76.744322,Transportation,Airport,0,6,5886.2,3.5
CloveDental,4.9,564.0,30.681506,76.744336,Hospital,DentalClinic,0,6,5886.2,4.884656084656136
Dr.Sharma's,4.9,32.0,30.681484,76.74435,Hospital,DentalClinic,0,6,5886.2,4.651428571428574
ThindClinic,5.0,1.0,30.682349,76.744735,Hospital,EyeClinic,0,6,5886.2,2.75
"TheChildren'sClinic(DrSandipJain)&VaccinationCentre,Mohali",4.9,115.0,30.681581,76.744535,Hospital,Children'sHospital,0,6,5886.2,4.826271186440668
RESETUPFitness,5.0,68.0,30.681608,76.744505,Fitness&Wellness,YogaStudio,0,6,5886.2,4.873239436619718
FASTdrycleanersandlaundryservices,5.0,29.0,30.681242,76.744553,PersonalCare,Laundry,0,6,5886.2,4.71875
FABRICAREDRYCLEANING,5.0,1.0,30.683026,76.744275,PersonalCare,Laundry,0,6,5886.2,2.75
SikhMissionaryCollegeRegd.,4.4,8.0,30.682574,76.744089,EducationalInstitute,College,0,6,5886.2,3.745454545454545
AjayDanceStudio-ADS,4.9,35.0,30.681482,76.744336,EducationalInstitute,DanceSchool,0,6,5886.2,4.671052631578951
ArtisticDanceStudio,5.0,19.0,30.681884,76.743996,EducationalInstitute,DanceSchool,0,6,5886.2,4.590909090909091
DhillonDrivingSchoolMohali,4.4,115.0,30.681864,76.744322,EducationalInstitute,DrivingSchool,0,6,5886.2,4.338983050847449
SarangLokCulturalAndResearchCentre,4.0,5.0,30.682308,76.744333,EducationalInstitute,ArtSchool,0,6,5886.2,3.25
SarangLokCulturalAndResearchCentre,4.0,5.0,30.682308,76.744333,EducationalInstitute,MusicSchool,0,6,5886.2,3.25
AjayDanceStudio-ADS,4.9,35.0,30.681482,76.744336,EducationalInstitute,ArtSchool,0,6,5886.2,4.671052631578951
"St.Mary'sSchool,Mohali",4.5,43.0,30.678502,76.744287,EducationalInstitute,School,0,6,5886.2,4.336956521739131
AmbarsariyaGroceryShop,4.3,27.0,30.690235,76.744159,Shop,ConvenienceStore,0,6,5886.2,4.069999999999999
RelaxoFootwear,4.7,17.0,30.68153,76.744277,Shop,ShoeStore,0,6,5886.2,4.295000000000001
BHARDWAJSTATIONERY,4.6,19.0,30.687992,76.744181,Shop,Stationery,0,6,5886.2,4.245454545454544
Angelbeautysalon,4.2,132.0,30.681785,76.743903,Shop,BeautyParlour,0,6,5886.2,4.151111111111107
Multistore,4.5,24.0,30.680941,76.744602,Shop,Clothing,0,6,5886.2,4.222222222222222
K.SElectricalsPh10,4.8,22.0,30.688196,76.744137,Shop,Electronics,0,6,5886.2,4.463999999999999
BHARDWAJPRINTPOINT,4.7,7.0,30.688196,76.744137,Shop,Stationery,0,6,5886.2,3.89
DayNightMarts,4.5,100.0,30.681586,76.744224,Shop,Diary,0,6,5886.2,4.427184466019417
TashuUnisexsalon,4.9,329.0,30.682026,76.743886,Shop,BeautyParlour,0,6,5886.2,4.873795180722914
"GargSanjeev&Associates,CharteredAccountants",5.0,2.0,30.686277,76.743962,Office,AccountingFirm,0,6,5886.2,3.2
OYOHotelCandy,5.0,2.0,30.682588,76.744672,Hotel,BudgetHotel,0,6,5886.2,3.2
OYOHotelCandy,5.0,2.0,30.682588,76.744672,Hotel,Hotels,0,6,5886.2,3.2
