Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
DOABA'SJUICEBAR&EATINGJUNCTION,4.0,33.0,30.710731,76.753713,Restaurant,Bar,9,14,9665.8,3.8333333333333335
MacmillanPublishers,3.5,4.0,30.71147,76.752827,GovernmentBuilding,Library,9,14,9665.8,2.857142857142857
StateBankOfIndiaATM,4.0,6.0,30.71111,76.7538,FinancialInstitution,ATM,9,14,9665.8,3.333333333333333
HairRaiserz,4.8,3311.0,30.711469,76.752709,PersonalCare,HairSalon,9,14,9665.8,4.797465298732363
HEADLINESALONFORMENANDWOMEN,4.9,824.0,30.710855,76.753124,PersonalCare,HairSalon,9,14,9665.8,4.889480048367657
ChoppersUnisexSalon,4.8,55.0,30.711015,76.753786,PersonalCare,HairSalon,9,14,9665.8,4.6551724137931085
SharmaInstituteOfCommerce,5.0,1.0,30.711333,76.75291,EducationalInstitute,College,9,14,9665.8,2.75
MohinderKiDukaan|Hardware-Sanutary-Paints|,4.1,175.0,30.711389,76.752867,Shop,HardwareStore,9,14,9665.8,4.064606741573047
DayalPharmacy,5.0,40.0,30.710862,76.753501,Shop,Pharmacy,9,14,9665.8,4.790697674418604
SaiMedicos,3.7,3.0,30.710997,76.7537,Shop,Pharmacy,9,14,9665.8,2.85
SaiPhotostatStationery,4.3,25.0,30.711395,76.753645,Shop,Stationery,9,14,9665.8,4.053571428571427
D.M.AssociatesPrivateLimited,4.4,34.0,30.711283,76.752965,Office,Co-workingSpace,9,14,9665.8,4.205405405405408
