Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
CastleGrill,4.3,2141.0,30.738196,76.748966,Restaurant,FineDining,19,10,8695.6,4.296781716417945
LalitCoomar'sGuitarClasses,4.7,45.0,30.737292,76.749324,EducationalInstitute,MusicSchool,19,10,8695.6,4.531249999999997
SanjeevFootwears-BestShoesStoreInChandigarh,3.8,524.0,30.736873,76.749384,Shop,ShoeStore,19,10,8695.6,3.7897533206830807
BataShoeStore,4.1,80.0,30.737057,76.749344,Shop,ShoeStore,19,10,8695.6,4.024096385542171
M/SGargBrothersAgency,4.2,5.0,30.738071,76.748879,Shop,HardwareStore,19,10,8695.6,3.375
SJStyle&Store,5.0,12.0,30.737058,76.749362,Shop,Clothing,19,10,8695.6,4.4
A.SCLOTHING,4.0,2.0,30.737039,76.749364,Shop,Clothing,19,10,8695.6,2.8
ZenithRetails,4.9,16.0,30.737003,76.749297,Shop,Clothing,19,10,8695.6,4.442105263157895
BansalStationers,3.7,26.0,30.736988,76.74917,Shop,Stationery,19,10,8695.6,3.5241379310344843
