Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
Peddlers,4.1,2094.0,30.720885,76.758999,Restaurant,Pub,13,19,8287.800000000001,4.096995708154666
BaskinRobbins,4.2,177.0,30.720771,76.758858,Restaurant,IceCreamParlor,13,19,8287.800000000001,4.163333333333342
Monica'sPuddings&Pies,3.5,151.0,30.720777,76.758868,Restaurant,Bakery,13,19,8287.800000000001,3.470779220779221
Peddlers,4.1,2094.0,30.720885,76.758999,Restaurant,Bar,13,19,8287.800000000001,4.096995708154666
Cocoberry,4.3,14.0,30.720929,76.759111,Restaurant,IceCreamParlor,13,19,8287.800000000001,3.894117647058823
ThirdWaveCoffee,4.8,913.0,30.720739,76.758978,Restaurant,Cafe,13,19,8287.800000000001,4.790829694323225
BurgerSinghSec35CHD,3.7,188.0,30.720768,76.758799,Restaurant,FastFood,13,19,8287.800000000001,3.673298429319378
Kaydee'sGuitarAcademy,5.0,2.0,30.722582,76.759019,EducationalInstitute,ArtSchool,13,19,8287.800000000001,3.2
Kaydee'sGuitarAcademy,5.0,2.0,30.722582,76.759019,EducationalInstitute,MusicSchool,13,19,8287.800000000001,3.2
IIFD-IndianInstituteofFashion&Design,4.5,338.0,30.72256,76.7589,EducationalInstitute,University,13,19,8287.800000000001,4.478005865102639
SriSukhmaniInstituteofEngineering&Technology,3.9,61.0,30.721084,76.759191,EducationalInstitute,College,13,19,8287.800000000001,3.810937500000004
Miniso,3.7,58.0,30.721032,76.759301,Shop,ConvenienceStore,13,19,8287.800000000001,3.616393442622948
ShivaniStationery,5.0,1.0,30.72253,76.758929,Shop,Stationery,13,19,8287.800000000001,2.75
StaticeHealth,5.0,1.0,30.72256,76.7589,Office,Non-ProfitOrganization,13,19,8287.800000000001,2.75
