Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
BeatworkStudio|BestMusicStudioinChandigarh,4.7,10.0,30.708907,76.743644,EducationalInstitute,ArtSchool,8,5,11602.599999999997,4.0769230769230775
BeatworkStudio|BestMusicStudioinChandigarh,4.7,10.0,30.708907,76.743644,EducationalInstitute,MusicSchool,8,5,11602.599999999997,4.0769230769230775
