Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
Quran-O-SunnatMasjid,4.5,10.0,30.690806,76.749278,PilgrimagePlace,Mosque,1,10,9226.4,3.923076923076923
Chhathpujagrounds,5.0,1.0,30.690801,76.74896,PilgrimagePlace,Temple,1,10,9226.4,2.75
ApolloDiagnostics,1.0,2.0,30.692043,76.748543,EventVenue,Stadium,1,10,9226.4,1.6
MeetSinghFitness,5.0,8.0,30.692061,76.748565,Fitness&Wellness,Gym,1,10,9226.4,4.181818181818182
Park,4.1,89.0,30.691394,76.748351,OutdoorSpace,Park,1,10,9226.4,4.031521739130439
GraniteaccountingconsultingLLP,5.0,1.0,30.692061,76.748565,Office,AccountingFirm,1,10,9226.4,2.75
