Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
RaiFastFoodservice,5.0,1.0,30.732194,76.7397,Restaurant,FastFood,17,2,12097.2,2.75
MadinaMasjid,5.0,2.0,30.731675,76.740353,PilgrimagePlace,Mosque,17,2,12097.2,3.2
RaviDryCleaning&Laundary,4.8,6.0,30.732876,76.740457,PersonalCare,Laundry,17,2,12097.2,3.866666666666666
GautamMedicalStore,3.7,19.0,30.731704,76.740495,Shop,Pharmacy,17,2,12097.2,3.468181818181819
PalDairy,5.0,3.0,30.731515,76.740146,Shop,Diary,17,2,12097.2,3.5
AhujaElectronics,4.2,29.0,30.731529,76.740424,Shop,Electronics,17,2,12097.2,3.9937500000000017
ParamountElectronicsandElectrical,4.6,5.0,30.733048,76.740211,Shop,Electronics,17,2,12097.2,3.625
